1.1,1.2,2.1,2.2,3.1,3.2,4.1,4.2,5.1,5.2,6.1,6.2,7.1,7.2,8.1,8.2,9.1,9.2,10.1,10.2,11.1,11.2,12.1,12.2
6.4,1.3,---,---,---,---,12.8,7.3,26.5,15.7,32.9,20.4,---,---,---,---,30.9,18.6,17.9,11.0,19.1,11.4,---,---
8.2,3.9,---,---,---,---,15.2,5.8,30.7,16.7,30.6,20.7,---,---,---,---,27.9,18.3,14.2,9.1,21.1,14.5,---,---
6.9,3.1,---,---,---,---,20.9,7.0,30.7,18.2,30.6,20.7,---,---,---,---,26.1,19.5,19.3,8.3,21.5,14.9,---,---
12.4,4.6,---,---,---,---,19.8,11.0,31.1,17.5,30.7,19.3,---,---,---,---,22.4,18.2,19.1,9.6,22.6,12.7,---,---
10.5,5.3,---,---,---,---,20.5,11.2,30.0,20.2,29.9,20.5,---,---,---,---,28.5,16.7,20.5,7.9,20.7,10.7,---,---
11.6,4.8,---,---,---,---,17.4,10.2,28.1,17.7,29.2,22.0,---,---,---,---,28.6,19.0,23.5,9.4,18.2,8.8,---,---
8.8,5.7,---,---,---,---,14.9,10.5,26.3,16.1,26.3,17.9,28.8,22.3,---,---,28.3,16.6,23.4,13.7,16.7,9.2,---,---
13.4,7.3,---,---,---,---,22.8,9.5,26.3,16.8,31.8,19.0,29.6,20.4,---,---,28.8,18.1,23.9,14.0,18.2,8.5,---,---
9.0,5.9,---,---,---,---,25.8,12.2,26.3,15.4,27.4,18.6,30.5,17.9,---,---,28.1,17.0,25.6,13.7,16.9,8.4,---,---
7.4,4.3,---,---,---,---,20.7,13.3,26.8,17.3,31.3,20.6,31.0,18.8,---,---,27.9,16.6,25.8,13.0,13.2,5.4,---,---
7.8,5.3,---,---,---,---,23.4,11.6,28.8,17.1,31.8,21.0,22.5,19.3,---,---,28.6,17.9,25.8,12.8,11.3,4.7,---,---
6.7,5.1,---,---,---,---,27.2,13.1,29.8,16.5,33.0,21.0,27.9,17.6,---,---,31.0,17.5,24.0,12.9,18.7,7.4,---,---
5.9,1.4,---,---,---,---,22.0,14.9,28.2,17.1,25.7,18.4,29.6,18.9,---,---,29.9,17.8,24.5,12.0,16.7,8.5,---,---
1.6,-0.7,---,---,---,---,25.0,12.1,24.4,14.5,20.4,16.5,30.7,20.0,---,---,30.9,18.4,23.1,11.7,15.7,8.7,---,---
0.1,-1.4,---,---,---,---,24.7,14.7,20.6,11.4,25.6,17.9,31.0,20.2,---,---,26.6,18.8,22.9,11.4,12.1,6.3,---,---
0.6,-2.0,---,---,---,---,20.6,17.3,19.6,12.2,27.8,20.1,31.5,20.3,---,---,27.1,16.5,22.4,11.2,13.0,5.7,---,---
5.5,0.1,---,---,---,---,22.6,16.0,20.6,13.9,31.3,21.0,30.8,21.1,---,---,27.2,16.4,24.2,13.4,11.4,3.1,---,---
8.5,2.0,---,---,---,---,25.1,16.0,22.9,15.3,27.0,19.6,25.6,19.5,---,---,30.6,17.1,22.5,13.7,9.2,4.2,---,---
7.0,3.1,---,---,---,---,27.1,13.5,25.8,15.1,31.1,21.6,28.3,19.1,---,---,28.8,16.1,17.6,13.8,5.3,2.4,---,---
8.2,1.6,---,---,---,---,26.5,16.5,25.4,14.0,32.3,21.9,31.4,20.2,---,---,29.7,17.5,20.1,11.9,5.4,3.6,---,---
2.5,0.9,---,---,---,---,27.0,13.6,26.5,15.5,32.3,22.2,31.5,19.9,---,---,29.3,18.2,13.2,8.0,7.7,5.4,---,---
4.9,-0.5,---,---,---,---,29.7,14.2,25.8,15.9,25.8,14.9,29.7,20.5,---,---,21.3,13.7,18.1,11.4,7.1,5.7,---,---
3.3,-0.6,---,---,---,---,30.1,16.6,28.6,17.8,21.0,12.3,30.9,20.2,---,---,20.6,14.2,15.5,10.6,8.5,6.1,---,---
5.0,1.7,---,---,---,---,26.3,18.1,30.4,19.3,21.3,13.5,33.1,20.2,---,---,18.6,10.1,13.9,7.9,6.7,5.0,---,---
5.5,-0.5,---,---,---,---,28.4,14.8,23.4,17.1,24.6,15.5,33.0,20.5,---,---,15.5,8.4,14.7,6.3,8.3,5.9,---,---
4.0,1.7,---,---,---,---,23.5,12.5,30.2,16.3,26.6,15.1,32.4,22.0,---,---,17.6,6.5,16.7,11.5,9.2,5.6,---,---
7.3,1.2,---,---,---,---,21.0,11.5,30.7,18.0,23.1,14.4,32.3,22.1,---,---,22.2,7.0,19.4,11.7,5.7,2.4,---,---
10.1,2.4,---,---,---,---,27.6,12.5,31.6,19.8,28.0,16.7,36.2,21.9,---,---,22.0,10.5,22.3,11.4,5.4,-0.1,---,---
16.1,2.9, ,,---,---,22.8,22.8,30.3,20.0,29.8,19.2,36.1,23.4,---,---,17.7,12.0,24.2,15.0,0.7,-2.2,---,---
11.4,4.8, ,,---,---,29.2,18.4,30.4,19.8,26.8,17.3,35.2,24.8,---,---,19.4,8.7,21.6,13.9,0.4,-4.5,---,---
7.5,3.5, ,,---,---, ,,31.7,19.1, ,,33.2,24.5,---,---, ,,20.8,11.0, ,,---,---
